group,session,agent,kind,hand,street,prompt_tokens,total_tokens,cost
control,akg-vs-fullhistory-1,llm-akg-durable,update,1,,1867,8028,0.02347095
control,akg-vs-fullhistory-1,llm-akg-durable,decision,2,preflop,1386,11396,0.0205008
control,akg-vs-fullhistory-1,llm-akg-durable,update,2,,1998,11533,0.04057065
control,akg-vs-fullhistory-1,llm-akg-durable,decision,3,preflop,1482,3842,0.0110907
control,akg-vs-fullhistory-1,llm-akg-durable,update,3,,2106,9189,0.0228018
control,akg-vs-fullhistory-1,llm-akg-durable,decision,4,preflop,1559,4139,0.011837549999999999
control,akg-vs-fullhistory-1,llm-akg-durable,update,4,,2215,18513,0.04914015
control,akg-vs-fullhistory-1,llm-akg-durable,decision,5,preflop,1620,4585,0.013850850000000001
control,akg-vs-fullhistory-1,llm-akg-durable,update,5,,2332,10512,0.029351850000000002
control,akg-vs-fullhistory-1,llm-akg-durable,decision,6,preflop,1682,4778,0.0147657
control,akg-vs-fullhistory-1,llm-akg-durable,update,6,,2418,27508,0.0624291
control,akg-vs-fullhistory-1,llm-akg-durable,decision,7,preflop,1733,6182,0.020946
control,akg-vs-fullhistory-1,llm-akg-durable,update,7,,2541,10690,0.0255867
control,akg-vs-fullhistory-1,llm-akg-durable,decision,8,preflop,1781,11673,0.02594835
control,akg-vs-fullhistory-1,llm-akg-durable,update,8,,2635,23645,0.07215645
control,akg-vs-fullhistory-1,llm-akg-durable,decision,9,preflop,1781,5432,0.01624665
control,akg-vs-fullhistory-1,llm-akg-durable,update,9,,2686,14229,0.028595250000000003
control,akg-vs-fullhistory-1,llm-akg-durable,decision,10,preflop,1841,10295,0.022575900000000003
control,akg-vs-fullhistory-1,llm-akg-durable,update,10,,2796,17875,0.04158135
control,akg-vs-fullhistory-1,llm-akg-durable,decision,11,preflop,1884,10687,0.024001799999999997
control,akg-vs-fullhistory-1,llm-akg-durable,update,11,,2897,25472,0.059659649999999995
control,akg-vs-fullhistory-1,llm-akg-durable,decision,12,preflop,1941,6166,0.01961715
control,akg-vs-fullhistory-1,llm-akg-durable,update,12,,2943,19212,0.04627395000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,13,preflop,2018,6324,0.01912275
control,akg-vs-fullhistory-1,llm-akg-durable,update,13,,3065,16477,0.034998
control,akg-vs-fullhistory-1,llm-akg-durable,update,14,,3163,17534,0.035226900000000005
control,akg-vs-fullhistory-1,llm-akg-durable,decision,15,preflop,2120,6880,0.0211146
control,akg-vs-fullhistory-1,llm-akg-durable,update,15,,3232,28187,0.048591
control,akg-vs-fullhistory-1,llm-akg-durable,decision,16,preflop,2169,20828,0.03975855
control,akg-vs-fullhistory-1,llm-akg-durable,update,16,,3350,28356,0.08174805
control,akg-vs-fullhistory-1,llm-akg-durable,decision,17,preflop,2174,7302,0.02366955
control,akg-vs-fullhistory-1,llm-akg-durable,update,17,,3400,18207,0.038976
control,akg-vs-fullhistory-1,llm-akg-durable,decision,18,preflop,2238,7421,0.02215125
control,akg-vs-fullhistory-1,llm-akg-durable,update,18,,3488,22786,0.055314150000000006
control,akg-vs-fullhistory-1,llm-akg-durable,decision,19,preflop,2277,7611,0.02285295
control,akg-vs-fullhistory-1,llm-akg-durable,update,19,,3571,15917,0.04411515
control,akg-vs-fullhistory-1,llm-akg-durable,update,20,,3692,19472,0.04121325
control,akg-vs-fullhistory-1,llm-akg-durable,decision,21,preflop,2345,7948,0.023679600000000002
control,akg-vs-fullhistory-1,llm-akg-durable,update,21,,3700,20208,0.04547295
control,akg-vs-fullhistory-1,llm-akg-durable,decision,22,preflop,2411,35148,0.0564903
control,akg-vs-fullhistory-1,llm-akg-durable,update,22,,3847,24036,0.056677500000000006
control,akg-vs-fullhistory-1,llm-akg-durable,decision,23,preflop,2272,7835,0.0235977
control,akg-vs-fullhistory-1,llm-akg-durable,update,23,,3695,19667,0.042167249999999996
control,akg-vs-fullhistory-1,llm-akg-durable,decision,24,preflop,2331,15066,0.031657649999999996
control,akg-vs-fullhistory-1,llm-akg-durable,update,24,,3801,39087,0.09121995
control,akg-vs-fullhistory-1,llm-akg-durable,decision,25,preflop,2360,8269,0.0249441
control,akg-vs-fullhistory-1,llm-akg-durable,update,25,,3854,20724,0.045528900000000004
control,akg-vs-fullhistory-1,llm-akg-durable,decision,26,preflop,2476,25513,0.0432219
control,akg-vs-fullhistory-1,llm-akg-durable,update,26,,4036,28707,0.05718659999999999
control,akg-vs-fullhistory-1,llm-akg-durable,decision,27,preflop,2521,8897,0.02672115
control,akg-vs-fullhistory-1,llm-akg-durable,update,27,,4096,21974,0.048437999999999995
control,akg-vs-fullhistory-1,llm-akg-durable,decision,28,preflop,2574,27120,0.04797135
control,akg-vs-fullhistory-1,llm-akg-durable,update,28,,4221,33451,0.08955495
control,akg-vs-fullhistory-1,llm-akg-durable,decision,29,preflop,2672,9359,0.027493950000000003
control,akg-vs-fullhistory-1,llm-akg-durable,update,29,,4323,23653,0.054098999999999994
control,akg-vs-fullhistory-1,llm-akg-durable,decision,30,preflop,2758,57188,0.08155815
control,akg-vs-fullhistory-1,llm-akg-durable,update,30,,4492,47198,0.11159025
control,akg-vs-fullhistory-1,llm-akg-durable,decision,31,preflop,2837,10126,0.0306222
control,akg-vs-fullhistory-1,llm-akg-durable,update,31,,4600,24812,0.055884600000000006
control,akg-vs-fullhistory-1,llm-akg-durable,update,32,,4583,24428,0.05411085
control,akg-vs-fullhistory-1,llm-akg-durable,decision,33,preflop,2815,10184,0.030375600000000003
control,akg-vs-fullhistory-1,llm-akg-durable,update,33,,4640,25115,0.0569691
control,akg-vs-fullhistory-1,llm-akg-durable,decision,34,preflop,2880,31332,0.05394195
control,akg-vs-fullhistory-1,llm-akg-durable,update,34,,4763,43703,0.09887760000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,35,preflop,2907,10596,0.0313332
control,akg-vs-fullhistory-1,llm-akg-durable,update,35,,4815,26223,0.060427350000000005
control,akg-vs-fullhistory-1,llm-akg-durable,decision,36,preflop,3001,11034,0.03360765
control,akg-vs-fullhistory-1,llm-akg-durable,update,36,,4933,39003,0.05398185
control,akg-vs-fullhistory-1,llm-akg-durable,decision,37,preflop,1749,7267,0.02372205
control,akg-vs-fullhistory-1,llm-akg-durable,update,37,,3726,18094,0.03136335
control,akg-vs-fullhistory-1,llm-akg-durable,decision,38,preflop,1757,30109,0.0486717
control,akg-vs-fullhistory-1,llm-akg-durable,update,38,,3838,54173,0.10564470000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,39,preflop,1806,7659,0.02550165
control,akg-vs-fullhistory-1,llm-akg-durable,update,39,,3856,14737,0.0320844
control,akg-vs-fullhistory-1,llm-akg-durable,decision,40,preflop,1821,21991,0.0374919
control,akg-vs-fullhistory-1,llm-akg-durable,update,40,,3940,35861,0.06896655
control,akg-vs-fullhistory-1,llm-akg-durable,decision,41,preflop,1786,7651,0.02416815
control,akg-vs-fullhistory-1,llm-akg-durable,update,41,,3915,19135,0.034137600000000004
control,akg-vs-fullhistory-1,llm-akg-durable,decision,42,preflop,1848,22882,0.04002435
control,akg-vs-fullhistory-1,llm-akg-durable,update,42,,4038,32694,0.08722740000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,43,preflop,1929,8446,0.0285573
control,akg-vs-fullhistory-1,llm-akg-durable,update,43,,4148,15892,0.035055300000000005
control,akg-vs-fullhistory-1,llm-akg-durable,decision,44,preflop,1928,25625,0.05230575
control,akg-vs-fullhistory-1,llm-akg-durable,update,44,,4207,33646,0.08822880000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,45,preflop,2015,8575,0.02750685
control,akg-vs-fullhistory-1,llm-akg-durable,update,45,,4320,16676,0.0375918
control,akg-vs-fullhistory-1,llm-akg-durable,decision,46,preflop,2007,24791,0.041859150000000005
control,akg-vs-fullhistory-1,llm-akg-durable,update,46,,4369,33385,0.0802983
control,akg-vs-fullhistory-1,llm-akg-durable,decision,47,preflop,2013,8655,0.0275325
control,akg-vs-fullhistory-1,llm-akg-durable,update,47,,4407,17101,0.039054900000000004
control,akg-vs-fullhistory-1,llm-akg-durable,decision,48,preflop,2049,9984,0.023019449999999997
control,akg-vs-fullhistory-1,llm-akg-durable,update,48,,4502,37224,0.09472335
control,akg-vs-fullhistory-1,llm-akg-durable,decision,49,preflop,2034,8816,0.028468800000000002
control,akg-vs-fullhistory-1,llm-akg-durable,update,49,,4518,17373,0.039089849999999995
control,akg-vs-fullhistory-1,llm-akg-durable,decision,50,preflop,2044,25978,0.04527075
control,akg-vs-fullhistory-1,llm-akg-durable,update,50,,4587,39997,0.10585785
control,akg-vs-fullhistory-1,llm-akg-durable,decision,51,preflop,2067,8984,0.02848995
control,akg-vs-fullhistory-1,llm-akg-durable,update,51,,4651,17655,0.03887355
control,akg-vs-fullhistory-1,llm-akg-durable,decision,52,preflop,2030,78307,0.10186904999999999
control,akg-vs-fullhistory-1,llm-akg-durable,update,52,,4719,44226,0.12367995000000001
control,akg-vs-fullhistory-1,llm-akg-durable,decision,53,preflop,2115,9347,0.0305181
control,akg-vs-fullhistory-1,llm-akg-durable,update,53,,4788,23387,0.0430671
control,akg-vs-fullhistory-1,llm-akg-durable,decision,54,preflop,2119,10567,0.02489955
control,akg-vs-fullhistory-1,llm-akg-durable,update,54,,4849,64902,0.11800034999999998
control,akg-vs-fullhistory-1,llm-akg-durable,decision,55,preflop,2115,9352,0.03015435
control,akg-vs-fullhistory-1,llm-akg-durable,update,55,,4869,23739,0.043586099999999996
control,akg-vs-fullhistory-1,llm-akg-durable,decision,56,preflop,2125,27622,0.049384800000000006
control,akg-vs-fullhistory-1,llm-akg-durable,update,56,,4938,65730,0.12116339999999999
control,akg-vs-fullhistory-1,llm-akg-durable,decision,57,preflop,2142,9553,0.0308712
